species,clip,k,arm,f0_annotated,strict_cents,oct_tol_cents,octave_correct,corr,coverage,n_scored
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-7_R2.WAV,2,crepe,147.4609375,1617.362008561935,119.81157008983706,0.0,0.2607943073504685,1.0,38
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R2.WAV,0,crepe,142.578125,44.57661691743617,44.57661691743617,1.0,0.9573841825107624,0.7142857142857143,25
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R2.WAV,2,crepe,142.578125,1551.0429434580851,81.35298479155595,0.0,-0.30826932613727176,0.9142857142857143,32
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R2.WAV,4,crepe,142.578125,2323.5360076419925,76.46399235800767,0.0,0.48668041909919624,0.14285714285714285,5
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R2.WAV,6,crepe,142.578125,2138.305191767632,185.32797443502886,0.0,0.9007889887858783,0.2,7
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-8_R1.WAV,0,crepe,146.484375,33.24916359470292,33.24916359470292,1.0,0.9517324187685864,0.7368421052631579,28
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-8_R1.WAV,2,crepe,146.484375,1384.2791368139906,46.59153985275166,0.0,-0.11737226404455807,0.7894736842105263,30
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-8_R1.WAV,6,crepe,146.484375,1824.3670142296783,77.58798663570916,0.0,,0.05263157894736842,2
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-8_R3.WAV,0,crepe,144.53125,42.25086740747635,42.25086740747635,1.0,0.9743763880313514,0.6,21
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-8_R3.WAV,2,crepe,144.53125,1320.0714969504997,87.83388003981901,0.0,-0.3324748879572034,0.7714285714285715,27
lions,lions/Biologger Roars Expanded (500ms)/JMO-4-1_R2.WAV,0,crepe,140.625,27.678853345779746,27.678853345779746,1.0,0.8717787116925432,0.6176470588235294,21
lions,lions/Biologger Roars Expanded (500ms)/JMO-4-1_R2.WAV,2,crepe,140.625,1754.9360456647992,95.21086368264069,0.0,-0.07814770112862518,0.9117647058823529,31
lions,lions/Biologger Roars Expanded (500ms)/JMO-4-1_R2.WAV,4,crepe,140.625,2096.6441480853764,194.6891472199891,0.0,0.9997978397017823,0.08823529411764706,3
lions,lions/Biologger Roars Expanded (500ms)/JMO-4-1_R2.WAV,6,crepe,140.625,2153.6592139530567,234.48469192017978,0.0,0.7748973702627696,0.11764705882352941,4
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-1_R2.WAV,0,crepe,157.2265625,47.20296664229926,47.20296664229926,1.0,0.7947901274418839,0.6666666666666666,24
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-1_R2.WAV,2,crepe,157.2265625,1548.7659848276958,69.49826209248987,0.0,-0.7099655027243382,0.6944444444444444,25
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-1_R2.WAV,6,crepe,157.2265625,2099.9975939626024,198.042593097215,0.0,0.9657929593470157,0.08333333333333333,3
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-1_R3.WAV,0,crepe,150.390625,45.5675605579682,45.5675605579682,1.0,0.9769931969556604,0.5714285714285714,20
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-1_R3.WAV,2,crepe,150.390625,1397.248752671895,66.43741528817043,0.0,0.46269807820362585,0.7142857142857143,25
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-2_R3.WAV,0,crepe,149.4140625,51.21114802683458,51.21114802683458,1.0,0.9130080550864247,0.5882352941176471,20
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-2_R3.WAV,2,crepe,149.4140625,1518.5586519053663,166.89763633115018,0.0,-0.13452871534411176,0.8235294117647058,28
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-2_R3.WAV,4,crepe,149.4140625,2396.497272976655,257.8404035483496,0.0,,0.058823529411764705,2
lions,lions/Biologger Roars Expanded (500ms)/JMO-5-2_R3.WAV,6,crepe,149.4140625,2049.051828353664,147.09682748827657,0.0,0.005474581522445167,0.17647058823529413,6
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R1.WAV,0,crepe,155.2734375,55.04709589993339,55.04709589993339,1.0,0.7808040571333237,0.7777777777777778,28
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R1.WAV,2,crepe,155.2734375,1584.1270556911088,128.81466705251333,0.0,-0.641299115012613,0.8611111111111112,31
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R1.WAV,4,crepe,155.2734375,2114.48549786622,172.84720987904285,0.0,,0.05555555555555555,2
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R1.WAV,6,crepe,155.2734375,1579.3031033252776,322.65189754011,0.0,0.5255987084769576,0.08333333333333333,3
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R2.WAV,0,crepe,143.5546875,69.51004206115793,69.51004206115793,1.0,0.8927606462708367,0.5,20
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R2.WAV,2,crepe,143.5546875,1783.9086645591783,179.9262200898931,0.0,0.01791486118029472,0.8,32
lions,lions/Biologger Roars Expanded (500ms)/PS-5-1_R2.WAV,4,crepe,143.5546875,1992.4312523876144,156.21238946513895,0.0,-0.12188726377255894,0.225,9
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R1.WAV,0,crepe,140.625,41.64654705270409,41.64654705270409,1.0,0.9783573178133305,0.46153846153846156,18
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R1.WAV,2,crepe,140.625,2016.0758235439953,215.2108569725411,0.0,0.2292922471827821,0.717948717948718,28
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R1.WAV,4,crepe,140.625,1976.9182805830162,74.96327971762905,0.0,0.7831022092259902,0.4358974358974359,17
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R2.WAV,0,crepe,146.484375,40.243595984811186,40.243595984811186,1.0,0.9485896995517111,0.5,20
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R2.WAV,2,crepe,146.484375,2065.2293020224092,150.04268364420466,0.0,0.2558972553675918,0.725,29
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R2.WAV,4,crepe,146.484375,2092.6407175907616,167.87072382264165,0.0,-0.2884185536717532,0.225,9
lions,lions/Biologger Roars Expanded (500ms)/PS-5-2_R2.WAV,6,crepe,146.484375,1982.9176168568972,80.96261599150981,0.0,,0.025,1
lions,lions/Biologger Roars Expanded (500ms)/PS-5-3_R1.WAV,0,crepe,167.96875,47.85440333998506,47.85440333998506,1.0,0.9648134189983821,0.7878787878787878,26
lions,lions/Biologger Roars Expanded (500ms)/PS-5-3_R1.WAV,2,crepe,167.96875,1987.109453474813,135.32263381422044,0.0,-0.21582505192512208,0.9090909090909091,30
lions,lions/Biologger Roars Expanded (500ms)/PS-5-3_R1.WAV,4,crepe,167.96875,1298.4324852808923,31.56608355613016,0.0,-0.6086613226840374,0.24242424242424243,8
lions,lions/Biologger Roars Expanded (500ms)/PS-5-4_R1.WAV,0,crepe,156.25,31.842975281069457,31.842975281069457,1.0,0.9773403686188191,0.725,29
lions,lions/Biologger Roars Expanded (500ms)/PS-5-4_R1.WAV,2,crepe,156.25,1700.887357899209,113.4073332632328,0.0,-0.4867356826891574,0.95,38
lions,lions/Biologger Roars Expanded (500ms)/PS-5-4_R1.WAV,4,crepe,156.25,1326.6959254528397,126.6959254528397,0.0,-0.9997354585383955,0.075,3
lions,lions/Biologger Roars Expanded (500ms)/PS-5-4_R1.WAV,6,crepe,156.25,1689.3003852009163,110.69961479908375,0.0,,0.05,2
lions,lions/Biologger Roars Expanded (500ms)/PS-5-4_R2.WAV,0,crepe,158.203125,26.226048038371204,26.226048038371204,1.0,0.9144955755024459,0.6285714285714286,22
