species,clip,k,arm,f0_annotated,strict_cents,oct_tol_cents,octave_correct,corr,coverage,n_scored
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,0,comb_noexempt,150.390625,130.5491136842833,66.05818172859401,1.0,0.582681630710154,0.95,38
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,0,pyin,150.390625,46.42077409645139,42.26085719350255,1.0,0.9156354963870886,0.975,39
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,2,comb,150.390625,161.6529804417845,86.5158703513207,1.0,-0.09079053508520424,1.0,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,2,comb_noexempt,150.390625,1906.9114854075387,107.53695612776633,0.0,0.012609432783655306,1.0,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,2,pyin,150.390625,1939.413995418411,134.04743508528168,0.0,-0.17859586111107376,0.9,36
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,4,comb,150.390625,134.42061264171846,63.72564119465193,1.0,0.34012320041772276,1.0,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,4,comb_noexempt,150.390625,1505.435779746898,277.80745332515005,0.0,-0.10059121557333862,0.975,39
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,4,pyin,150.390625,1550.772671930244,281.5467619215501,0.0,0.6784340424638389,0.325,13
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,6,comb,150.390625,194.65609984498377,157.85458608439762,1.0,-0.5005661524624352,1.0,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,6,comb_noexempt,150.390625,2103.559945035445,182.27239722054546,0.0,0.8087591088675861,1.0,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,6,pyin,150.390625,2124.6083321972574,210.3331329558783,0.0,0.5084049972117967,0.2,8
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R3.WAV,0,comb,146.484375,125.684882439692,115.70843866179177,1.0,0.7862619233406214,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R3.WAV,0,comb_noexempt,146.484375,102.53172045926539,88.78053428215061,1.0,-0.2516897120042737,0.926829268292683,38
